day_index,date,rate,short_rate,long_rate,spread
0,2025-11-29 19:50:25.111052,0.047,0.047,0.047,0.0
1,2025-11-30 19:50:25.111052,0.049,0.049,0.049,0.0
2,2025-12-01 19:50:25.111052,0.051000000000000004,0.051000000000000004,0.051000000000000004,0.0
3,2025-12-02 19:50:25.111052,0.053000000000000005,0.053000000000000005,0.053000000000000005,0.0
4,2025-12-03 19:50:25.111052,0.05500000000000001,0.05500000000000001,0.05500000000000001,0.0
5,2025-12-04 19:50:25.111052,0.05700000000000001,0.05700000000000001,0.05700000000000001,0.0
6,2025-12-05 19:50:25.111052,0.05900000000000001,0.05900000000000001,0.05900000000000001,0.0
7,2025-12-06 19:50:25.111052,0.06100000000000001,0.06100000000000001,0.06100000000000001,0.0
8,2025-12-07 19:50:25.111052,0.06300000000000001,0.06300000000000001,0.06300000000000001,0.0
9,2025-12-08 19:50:25.111052,0.06500000000000002,0.06500000000000002,0.06500000000000002,0.0
